transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,year,month,sale_hour,gains
1432,25-12-2022,06:24:00,67,Female,42,Electronics,2,500,245,1000,2022,12,6,Profit
150,13-04-2022,08:25:00,89,Female,42,Electronics,4,30,16.2,120,2022,4,8,Profit
845,27-10-2022,10:12:00,25,Male,42,Clothing,1,500,145,500,2022,10,10,Profit
1150,22-08-2022,10:04:00,77,Female,42,Electronics,4,30,10.2,120,2022,8,10,Profit
1845,24-05-2022,07:06:00,94,Male,42,Clothing,1,500,185,500,2022,5,7,Profit
797,16-09-2022,06:38:00,116,Male,42,Clothing,3,25,10.75,75,2022,9,6,Profit
921,28-09-2022,09:34:00,101,Male,42,Electronics,3,25,8,75,2022,9,9,Profit
1797,16-04-2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75,2022,4,11,Profit
1921,08-02-2022,07:01:00,77,Male,51,Electronics,3,25,7.5,75,2022,2,7,Profit
291,22-11-2022,08:29:00,15,Male,60,Clothing,2,300,126,600,2022,11,8,Profit
907,02-09-2022,06:16:00,145,Female,45,Electronics,1,25,8.5,25,2022,9,6,Profit
1291,04-04-2022,11:19:00,72,Male,60,Clothing,2,300,153,600,2022,4,11,Profit
1907,17-11-2022,11:21:00,115,Female,45,Electronics,1,25,9,25,2022,11,11,Profit
860,11-04-2022,08:58:00,85,Male,63,Clothing,4,50,16,200,2022,4,8,Profit
1860,12-03-2022,11:21:00,57,Male,63,Clothing,4,50,18,200,2022,3,11,Profit
184,13-02-2022,06:44:00,128,Male,31,Electronics,4,50,17,200,2022,2,6,Profit
734,12-03-2022,08:54:00,77,Female,27,Clothing,1,30,15.6,30,2022,3,8,Profit
1184,12-02-2022,08:28:00,23,Male,31,Electronics,4,50,27.5,200,2022,2,8,Profit
1734,28-02-2022,08:58:00,72,Female,27,Clothing,1,30,14.4,30,2022,2,8,Profit
225,05-03-2022,07:37:00,85,Female,57,Beauty,4,25,12.75,100,2022,3,7,Profit
679,26-08-2022,08:59:00,64,Female,18,Beauty,3,50,27.5,150,2022,8,8,Profit
746,05-07-2022,11:33:00,42,Female,33,Clothing,3,50,27.5,150,2022,7,11,Profit
1225,02-02-2022,09:51:00,137,Female,57,Beauty,3,50,27.5,150,2022,2,9,Profit
1679,23-09-2022,08:08:00,71,Female,18,Beauty,3,30,15.3,90,2022,9,8,Profit
1746,13-06-2022,07:59:00,88,Female,33,Clothing,3,30,10.8,90,2022,6,7,Profit
3,14-06-2022,07:08:00,114,Male,50,Electronics,1,30,8.1,30,2022,6,7,Profit
464,06-03-2022,11:13:00,24,Male,38,Electronics,2,300,75,600,2022,3,11,Profit
484,13-03-2022,07:52:00,135,Female,19,Clothing,4,300,75,1200,2022,3,7,Profit
591,21-03-2022,08:38:00,94,Male,53,Electronics,4,25,6.5,100,2022,3,8,Profit
1003,26-01-2022,07:59:00,80,Male,50,Electronics,1,30,15.9,30,2022,1,7,Profit
1464,13-11-2022,10:06:00,80,Male,38,Electronics,2,300,126,600,2022,11,10,Profit
1484,23-11-2022,09:29:00,22,Female,19,Clothing,4,300,147,1200,2022,11,9,Profit
1591,29-09-2022,11:00:00,62,Male,53,Electronics,4,25,7,100,2022,9,11,Profit
21,11-07-2022,07:33:00,59,Female,50,Beauty,1,500,275,500,2022,7,7,Profit
708,06-04-2022,08:38:00,62,Female,43,Beauty,3,300,87,900,2022,4,8,Profit
713,16-04-2022,11:43:00,39,Male,34,Beauty,3,25,11.25,75,2022,4,11,Profit
768,27-06-2022,06:50:00,58,Female,24,Beauty,3,25,10.5,75,2022,6,6,Profit
1021,11-06-2022,10:19:00,44,Female,50,Beauty,1,500,155,500,2022,6,10,Profit
1708,08-02-2022,07:47:00,41,Female,43,Beauty,3,300,162,900,2022,2,7,Profit
1713,03-10-2022,10:10:00,90,Male,34,Beauty,3,25,10.75,75,2022,10,10,Profit
1768,31-07-2022,09:52:00,85,Female,24,Beauty,3,25,8.75,75,2022,7,9,Profit
499,03-04-2022,10:52:00,15,Male,46,Beauty,2,30,16.5,60,2022,4,10,Profit
697,25-12-2022,07:52:00,152,Male,53,Clothing,1,500,200,500,2022,12,7,Profit
831,30-11-2022,11:49:00,149,Male,27,Electronics,4,25,13.75,100,2022,11,11,Profit
1499,23-09-2022,09:46:00,3,Male,46,Beauty,2,30,11.7,60,2022,9,9,Profit
1697,18-12-2022,08:22:00,54,Male,53,Clothing,1,500,265,500,2022,12,8,Profit
1831,26-03-2022,10:54:00,80,Male,27,Electronics,4,25,6.5,100,2022,3,10,Profit
15,01-07-2022,11:50:00,75,Female,42,Electronics,4,500,210,2000,2022,7,11,Profit
743,07-08-2022,07:54:00,55,Female,34,Beauty,4,500,260,2000,2022,8,7,Profit
1015,09-03-2022,11:53:00,94,Female,42,Electronics,4,500,200,2000,2022,3,11,Profit
1743,26-10-2022,09:37:00,47,Female,34,Beauty,4,500,250,2000,2022,10,9,Profit
14,18-05-2022,07:11:00,8,Male,64,Clothing,4,30,13.2,120,2022,5,7,Profit
103,12-11-2022,10:05:00,33,Female,59,Clothing,1,25,10.75,25,2022,11,10,Profit
238,10-05-2022,11:52:00,20,Female,39,Beauty,1,500,150,500,2022,5,11,Profit
986,01-08-2022,09:35:00,65,Female,49,Clothing,2,500,200,1000,2022,8,9,Profit
1014,04-02-2022,10:26:00,147,Male,64,Clothing,4,30,11.4,120,2022,2,10,Profit
1103,14-02-2022,07:11:00,61,Female,59,Clothing,1,25,6.75,25,2022,2,7,Profit
1238,17-09-2022,07:38:00,129,Female,39,Beauty,1,500,165,500,2022,9,7,Profit
1986,14-09-2022,08:28:00,29,Female,49,Clothing,2,500,145,1000,2022,9,8,Profit
438,31-08-2022,10:15:00,88,Female,42,Clothing,1,30,15.9,30,2022,8,10,Profit
1438,07-01-2022,10:00:00,72,Female,42,Clothing,1,30,13.8,30,2022,1,10,Profit
475,12-08-2022,10:39:00,78,Male,26,Clothing,3,25,9,75,2022,8,10,Profit
505,17-12-2022,07:25:00,86,Male,24,Beauty,1,50,19.5,50,2022,12,7,Profit
1475,04-10-2022,07:03:00,132,Male,26,Clothing,3,25,10.75,75,2022,10,7,Profit
1505,30-10-2022,08:00:00,98,Male,24,Beauty,1,50,14.5,50,2022,10,8,Profit
344,17-07-2022,09:47:00,69,Female,42,Beauty,1,30,7.5,30,2022,7,9,Profit
448,19-03-2022,09:36:00,86,Female,54,Beauty,2,30,16.2,60,2022,3,9,Profit
742,19-03-2022,06:08:00,37,Female,38,Electronics,4,500,195,2000,2022,3,6,Profit
1344,18-12-2022,06:12:00,144,Female,42,Beauty,1,30,11.1,30,2022,12,6,Profit
1448,16-05-2022,06:28:00,51,Female,54,Beauty,2,30,9.3,60,2022,5,6,Profit
1742,22-11-2022,08:25:00,18,Female,38,Electronics,4,500,220,2000,2022,11,8,Profit
445,14-04-2022,10:48:00,132,Female,53,Electronics,1,300,138,300,2022,4,10,Profit
787,10-06-2022,10:42:00,25,Male,41,Electronics,1,25,13.75,25,2022,6,10,Profit
1445,19-04-2022,06:16:00,31,Female,53,Electronics,1,300,129,300,2022,4,6,Profit
1787,30-05-2022,07:42:00,104,Male,41,Electronics,1,25,10,25,2022,5,7,Profit
49,17-09-2022,10:33:00,37,Female,54,Electronics,2,500,255,1000,2022,9,10,Profit
420,02-01-2022,10:53:00,28,Female,22,Clothing,4,500,200,2000,2022,1,10,Profit
519,08-04-2022,10:17:00,52,Female,36,Electronics,4,30,16.5,120,2022,4,10,Profit
1049,16-05-2022,06:36:00,143,Female,54,Electronics,2,500,125,1000,2022,5,6,Profit
1420,15-04-2022,07:01:00,138,Female,22,Clothing,4,500,205,2000,2022,4,7,Profit
1519,08-01-2022,07:35:00,139,Female,36,Electronics,4,30,9.3,120,2022,1,7,Profit
64,15-11-2022,06:34:00,7,Male,49,Clothing,4,25,8.5,100,2022,11,6,Profit
592,26-12-2022,09:15:00,77,Female,46,Beauty,4,500,275,2000,2022,12,9,Profit
912,31-10-2022,06:18:00,122,Male,51,Beauty,3,50,20.5,150,2022,10,6,Profit
1064,14-04-2022,10:38:00,49,Male,49,Clothing,4,25,13.75,100,2022,4,10,Profit
1592,16-03-2022,09:08:00,81,Female,46,Beauty,4,500,155,2000,2022,3,9,Profit
1912,27-05-2022,07:40:00,146,Male,51,Beauty,3,50,22,150,2022,5,7,Profit
134,25-08-2022,09:03:00,132,Male,49,Electronics,1,50,16,50,2022,8,9,Profit
1134,05-08-2022,09:04:00,106,Male,49,Electronics,1,50,24,50,2022,8,9,Profit
288,02-05-2022,09:59:00,27,Male,28,Clothing,4,30,12,120,2022,5,9,Profit
323,21-01-2022,08:22:00,97,Female,29,Beauty,3,300,150,900,2022,1,8,Profit
618,13-10-2022,10:22:00,5,Female,27,Beauty,1,50,26,50,2022,10,10,Profit
720,08-04-2022,08:50:00,116,Female,56,Beauty,3,500,235,1500,2022,4,8,Profit
1288,05-04-2022,11:56:00,26,Male,28,Clothing,4,30,9,120,2022,4,11,Profit
1323,15-08-2022,10:49:00,136,Female,29,Beauty,3,300,114,900,2022,8,10,Profit
1618,15-09-2022,06:27:00,118,Female,27,Beauty,1,50,13.5,50,2022,9,6,Profit
1720,10-10-2022,08:51:00,28,Female,56,Beauty,3,500,190,1500,2022,10,8,Profit
415,05-01-2022,09:59:00,85,Male,53,Clothing,2,30,8.1,60,2022,1,9,Profit
736,18-12-2022,08:30:00,97,Male,29,Clothing,4,25,9.75,100,2022,12,8,Profit
929,11-03-2022,10:18:00,40,Female,23,Beauty,3,25,10.5,75,2022,3,10,Profit
1415,06-03-2022,07:11:00,146,Male,53,Clothing,2,30,15.3,60,2022,3,7,Profit
1736,28-08-2022,08:57:00,87,Male,29,Clothing,4,25,10.25,100,2022,8,8,Profit
1929,15-09-2022,06:50:00,62,Female,23,Beauty,3,25,12.75,75,2022,9,6,Profit
264,26-12-2022,11:03:00,111,Male,47,Clothing,3,300,150,900,2022,12,11,Profit
913,12-10-2022,10:52:00,78,Male,29,Electronics,3,30,16.5,90,2022,10,10,Profit
940,05-01-2022,08:11:00,46,Female,20,Electronics,1,30,9.6,30,2022,1,8,Profit
1264,27-05-2022,09:23:00,82,Male,47,Clothing,3,300,123,900,2022,5,9,Profit
1913,23-06-2022,07:10:00,101,Male,29,Electronics,3,30,14.1,90,2022,6,7,Profit
1940,15-06-2022,09:47:00,56,Female,20,Electronics,1,30,11.1,30,2022,6,9,Profit
101,08-01-2022,08:46:00,24,Male,32,Clothing,2,300,135,600,2022,1,8,Profit
1101,17-05-2022,07:47:00,15,Male,32,Clothing,2,300,132,600,2022,5,7,Profit
189,02-01-2022,09:44:00,143,Male,63,Beauty,1,50,14.5,50,2022,1,9,Profit
317,04-05-2022,07:54:00,117,Male,22,Electronics,3,30,12,90,2022,5,7,Profit
322,19-10-2022,06:11:00,13,Male,51,Electronics,1,500,125,500,2022,10,6,Profit
329,27-10-2022,07:42:00,52,Female,46,Electronics,4,25,8,100,2022,10,7,Profit
1189,07-12-2022,06:08:00,104,Male,63,Beauty,1,50,20.5,50,2022,12,6,Profit
1317,25-08-2022,08:02:00,144,Male,22,Electronics,3,30,12,90,2022,8,8,Profit
1322,14-11-2022,09:56:00,10,Male,51,Electronics,1,500,250,500,2022,11,9,Profit
1329,27-01-2022,10:39:00,119,Female,46,Electronics,4,25,9.25,100,2022,1,10,Profit
235,10-03-2022,10:13:00,132,Female,23,Electronics,2,500,275,1000,2022,3,10,Profit
300,08-01-2022,09:41:00,138,Female,19,Electronics,4,50,26.5,200,2022,1,9,Profit
964,26-08-2022,08:18:00,15,Male,24,Clothing,3,300,156,900,2022,8,8,Profit
1235,04-04-2022,06:44:00,87,Female,23,Electronics,2,500,220,1000,2022,4,6,Profit
1300,08-08-2022,08:57:00,7,Female,19,Electronics,4,50,24,200,2022,8,8,Profit
1964,02-08-2022,08:27:00,115,Male,24,Clothing,3,300,111,900,2022,8,8,Profit
269,19-09-2022,11:31:00,87,Male,25,Clothing,4,500,250,2000,2022,9,11,Profit
320,20-04-2022,08:35:00,57,Female,28,Electronics,4,300,159,1200,2022,4,8,Profit
673,04-07-2022,10:14:00,18,Female,43,Clothing,3,500,270,1500,2022,7,10,Profit
1269,01-01-2022,08:09:00,71,Male,25,Clothing,4,500,145,2000,2022,1,8,Profit
1320,02-11-2022,11:55:00,102,Female,28,Electronics,4,300,84,1200,2022,11,11,Profit
1673,14-06-2022,07:36:00,42,Female,43,Clothing,3,500,185,1500,2022,6,7,Profit
142,08-04-2022,10:05:00,61,Male,35,Electronics,4,300,138,1200,2022,4,10,Profit
223,15-01-2022,11:18:00,61,Female,64,Clothing,1,25,12,25,2022,1,11,Profit
666,03-03-2022,10:59:00,49,Male,51,Electronics,3,50,16,150,2022,3,10,Profit
1142,09-11-2022,09:49:00,2,Male,35,Electronics,4,300,114,1200,2022,11,9,Profit
1223,20-02-2022,07:40:00,106,Female,64,Clothing,1,25,9.75,25,2022,2,7,Profit
1666,08-12-2022,10:10:00,125,Male,51,Electronics,3,50,21,150,2022,12,10,Profit
107,06-10-2022,09:18:00,75,Female,21,Clothing,4,300,78,1200,2022,10,9,Profit
933,19-09-2022,07:53:00,81,Male,22,Beauty,1,30,12.9,30,2022,9,7,Profit
1107,31-12-2022,11:14:00,62,Female,21,Clothing,4,300,102,1200,2022,12,11,Profit
1933,12-01-2022,11:04:00,121,Male,22,Beauty,1,30,14.4,30,2022,1,11,Profit
237,11-04-2022,08:54:00,105,Female,50,Beauty,2,500,165,1000,2022,4,8,Profit
335,02-02-2022,09:23:00,2,Female,47,Beauty,4,30,10.8,120,2022,2,9,Profit
1237,23-02-2022,09:20:00,48,Female,50,Beauty,2,500,215,1000,2022,2,9,Profit
1335,27-05-2022,08:45:00,117,Female,47,Beauty,4,30,8.7,120,2022,5,8,Profit
63,03-02-2022,11:49:00,127,Male,57,Electronics,2,25,6.25,50,2022,2,11,Profit
195,14-08-2022,11:51:00,10,Male,52,Clothing,1,30,9.3,30,2022,8,11,Profit
333,06-10-2022,08:15:00,21,Female,54,Electronics,4,300,99,1200,2022,10,8,Profit
379,01-06-2022,07:28:00,76,Female,47,Clothing,1,25,8.5,25,2022,6,7,Profit
490,27-01-2022,06:07:00,43,Male,34,Clothing,3,50,18.5,150,2022,1,6,Profit
530,01-05-2022,07:52:00,8,Female,18,Electronics,4,30,9,120,2022,5,7,Profit
740,01-12-2022,06:58:00,33,Female,25,Beauty,4,50,13,200,2022,12,6,Profit
793,27-05-2022,10:53:00,1,Male,54,Beauty,1,30,14.7,30,2022,5,10,Profit
1063,04-08-2022,10:26:00,56,Male,57,Electronics,2,25,11,50,2022,8,10,Profit
1195,21-09-2022,07:07:00,55,Male,52,Clothing,1,30,12,30,2022,9,7,Profit
1333,01-11-2022,11:38:00,151,Female,54,Electronics,4,300,165,1200,2022,11,11,Profit
1379,02-01-2022,06:23:00,69,Female,47,Clothing,1,25,7.25,25,2022,1,6,Profit
1490,26-10-2022,07:15:00,155,Male,34,Clothing,3,50,17,150,2022,10,7,Profit
1530,10-12-2022,08:17:00,93,Female,18,Electronics,4,30,12.3,120,2022,12,8,Profit
1740,16-07-2022,06:01:00,66,Female,25,Beauty,4,50,27,200,2022,7,6,Profit
1793,11-12-2022,06:05:00,88,Male,54,Beauty,1,30,10.8,30,2022,12,6,Profit
85,03-09-2022,08:05:00,68,Male,31,Clothing,3,50,19,150,2022,9,8,Profit
232,12-08-2022,07:14:00,150,Female,43,Beauty,1,25,12.75,25,2022,8,7,Profit
240,05-11-2022,11:49:00,95,Female,23,Beauty,1,300,123,300,2022,11,11,Profit
993,07-09-2022,09:21:00,134,Female,48,Electronics,3,50,17,150,2022,9,9,Profit
1085,12-08-2022,09:29:00,76,Male,31,Clothing,3,50,17,150,2022,8,9,Profit
1232,23-05-2022,08:05:00,146,Female,43,Beauty,1,25,6.25,25,2022,5,8,Profit
1240,07-08-2022,07:42:00,144,Female,23,Beauty,1,300,90,300,2022,8,7,Profit
1993,29-12-2022,11:53:00,123,Female,48,Electronics,3,50,26.5,150,2022,12,11,Profit
366,29-10-2022,09:32:00,116,Male,57,Clothing,2,50,17.5,100,2022,10,9,Profit
372,19-06-2022,11:45:00,27,Female,24,Beauty,3,500,140,1500,2022,6,11,Profit
596,12-02-2022,08:44:00,87,Female,64,Electronics,1,300,93,300,2022,2,8,Profit
936,05-01-2022,10:51:00,143,Male,57,Beauty,4,50,19.5,200,2022,1,10,Profit
1366,01-01-2022,11:34:00,25,Male,57,Clothing,2,50,23.5,100,2022,1,11,Profit
1372,18-03-2022,10:53:00,60,Female,24,Beauty,3,500,145,1500,2022,3,10,Profit
1596,28-03-2022,06:22:00,7,Female,64,Electronics,1,300,141,300,2022,3,6,Profit
1936,19-06-2022,11:32:00,60,Male,57,Beauty,4,50,12.5,200,2022,6,11,Profit
284,12-11-2022,09:17:00,129,Male,43,Clothing,4,50,20.5,200,2022,11,9,Profit
434,26-10-2022,06:09:00,50,Female,43,Electronics,2,25,8.25,50,2022,10,6,Profit
775,06-05-2022,11:07:00,98,Female,46,Electronics,4,25,9.5,100,2022,5,11,Profit
977,26-07-2022,08:35:00,46,Female,35,Electronics,3,25,13.75,75,2022,7,8,Profit
1284,16-12-2022,11:43:00,145,Male,43,Clothing,4,50,18,200,2022,12,11,Profit
1434,04-02-2022,10:02:00,147,Female,43,Electronics,2,25,7,50,2022,2,10,Profit
1775,18-12-2022,08:04:00,78,Female,46,Electronics,4,25,13.75,100,2022,12,8,Profit
1977,05-08-2022,10:46:00,63,Female,35,Electronics,3,25,12,75,2022,8,10,Profit
649,21-06-2022,08:17:00,44,Female,58,Clothing,2,300,135,600,2022,6,8,Profit
1649,21-10-2022,07:44:00,72,Female,58,Clothing,2,300,75,600,2022,10,7,Profit
54,20-10-2022,10:17:00,142,Female,38,Electronics,3,500,200,1500,2022,10,10,Profit
68,15-12-2022,09:06:00,146,Male,25,Electronics,1,300,84,300,2022,12,9,Profit
192,08-11-2022,08:05:00,134,Male,62,Beauty,2,50,13,100,2022,11,8,Profit
1054,10-01-2022,09:24:00,49,Female,38,Electronics,3,500,140,1500,2022,1,9,Profit
1068,14-09-2022,10:11:00,136,Male,25,Electronics,1,300,111,300,2022,9,10,Profit
1192,29-03-2022,08:41:00,37,Male,62,Beauty,2,50,20.5,100,2022,3,8,Profit
331,16-08-2022,08:33:00,28,Male,28,Electronics,3,30,10.2,90,2022,8,8,Profit
346,05-09-2022,06:54:00,38,Male,59,Clothing,2,500,215,1000,2022,9,6,Profit
657,29-01-2022,08:53:00,46,Male,40,Clothing,1,25,8,25,2022,1,8,Profit
732,13-10-2022,08:45:00,136,Male,61,Electronics,2,500,250,1000,2022,10,8,Profit
972,16-08-2022,11:42:00,139,Male,49,Beauty,4,25,6.75,100,2022,8,11,Profit
1331,15-05-2022,09:29:00,36,Male,28,Electronics,3,30,13.8,90,2022,5,9,Profit
1346,10-04-2022,10:01:00,112,Male,59,Clothing,2,500,130,1000,2022,4,10,Profit
1657,09-08-2022,10:05:00,61,Male,40,Clothing,1,25,8,25,2022,8,10,Profit
1732,25-02-2022,07:05:00,55,Male,61,Electronics,2,500,215,1000,2022,2,7,Profit
1972,21-12-2022,06:39:00,5,Male,49,Beauty,4,25,9.25,100,2022,12,6,Profit
714,29-10-2022,08:50:00,20,Female,18,Clothing,1,500,190,500,2022,10,8,Profit
1714,23-11-2022,06:07:00,111,Female,18,Clothing,1,500,245,500,2022,11,6,Profit
193,27-03-2022,10:40:00,55,Male,35,Beauty,3,500,180,1500,2022,3,10,Profit
577,21-04-2022,11:55:00,45,Male,21,Beauty,4,500,215,2000,2022,4,11,Profit
848,24-01-2022,10:46:00,15,Female,63,Clothing,3,25,9.75,75,2022,1,10,Profit
945,01-10-2022,10:01:00,120,Male,30,Beauty,1,25,13.25,25,2022,10,10,Profit
1193,11-05-2022,11:31:00,50,Male,35,Beauty,3,500,145,1500,2022,5,11,Profit
1577,11-09-2022,06:22:00,145,Male,21,Beauty,4,500,160,2000,2022,9,6,Profit
1848,27-12-2022,10:16:00,63,Female,63,Clothing,3,25,12.5,75,2022,12,10,Profit
1945,19-04-2022,09:55:00,33,Male,30,Beauty,1,25,10.75,25,2022,4,9,Profit
11,27-02-2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100,2022,2,10,Profit
821,23-11-2022,11:27:00,40,Male,49,Electronics,1,300,129,300,2022,11,11,Profit
1011,01-04-2022,06:48:00,15,Male,23,Clothing,2,50,19,100,2022,4,6,Profit
1821,03-10-2022,07:17:00,42,Male,49,Electronics,1,300,108,300,2022,10,7,Profit
133,23-06-2022,09:01:00,70,Male,20,Electronics,3,300,87,900,2022,6,9,Profit
1133,05-03-2022,06:42:00,58,Male,20,Electronics,3,300,159,900,2022,3,6,Profit
16,25-06-2022,10:33:00,82,Male,19,Clothing,3,500,180,1500,2022,6,10,Profit
42,08-12-2022,08:29:00,63,Male,22,Clothing,3,300,147,900,2022,12,8,Profit
292,10-10-2022,06:33:00,111,Male,20,Beauty,4,300,141,1200,2022,10,6,Profit
416,21-08-2022,09:29:00,55,Male,53,Electronics,4,500,245,2000,2022,8,9,Profit
584,31-12-2022,10:21:00,106,Female,27,Beauty,4,50,16.5,200,2022,12,10,Profit
861,30-09-2022,08:57:00,22,Female,41,Clothing,3,30,9.6,90,2022,9,8,Profit
1016,12-12-2022,07:39:00,52,Male,19,Clothing,3,500,200,1500,2022,12,7,Profit
1042,11-02-2022,06:21:00,7,Male,22,Clothing,3,300,150,900,2022,2,6,Profit
1292,15-05-2022,08:20:00,88,Male,20,Beauty,4,300,90,1200,2022,5,8,Profit
1416,29-12-2022,10:47:00,111,Male,53,Electronics,4,500,125,2000,2022,12,10,Profit
1584,03-09-2022,11:07:00,62,Female,27,Beauty,4,50,16.5,200,2022,9,11,Profit
1861,04-07-2022,10:41:00,145,Female,41,Clothing,3,30,10.2,90,2022,7,10,Profit
256,09-01-2022,08:05:00,3,Male,23,Clothing,2,500,270,1000,2022,1,8,Profit
1256,05-11-2022,09:58:00,29,Male,23,Clothing,2,500,190,1000,2022,11,9,Profit
44,03-03-2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25,2022,3,11,Profit
257,10-12-2022,08:49:00,130,Male,19,Beauty,4,500,165,2000,2022,12,8,Profit
1044,20-02-2022,09:08:00,70,Female,22,Clothing,1,25,7.5,25,2022,2,9,Profit
1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500,255,2000,2022,5,11,Profit
268,14-04-2022,08:26:00,93,Female,28,Electronics,1,30,8.7,30,2022,4,8,Profit
287,26-08-2022,11:07:00,88,Male,54,Clothing,4,25,10,100,2022,8,11,Profit
966,07-11-2022,07:22:00,119,Male,60,Electronics,2,500,190,1000,2022,11,7,Profit
1268,09-06-2022,09:33:00,15,Female,28,Electronics,1,30,14.1,30,2022,6,9,Profit
1287,13-09-2022,08:03:00,120,Male,54,Clothing,4,25,7,100,2022,9,8,Profit
1966,20-07-2022,09:52:00,74,Male,60,Electronics,2,500,200,1000,2022,7,9,Profit
70,27-12-2022,10:48:00,147,Female,43,Clothing,1,300,84,300,2022,12,10,Profit
371,18-12-2022,10:01:00,32,Female,20,Beauty,1,25,13,25,2022,12,10,Profit
900,10-11-2022,08:41:00,130,Male,21,Clothing,2,30,15.6,60,2022,11,8,Profit
1070,14-07-2022,11:12:00,102,Female,43,Clothing,1,300,120,300,2022,7,11,Profit
1371,06-05-2022,06:52:00,41,Female,20,Beauty,1,25,13.5,25,2022,5,6,Profit
1900,21-01-2022,06:43:00,65,Male,21,Clothing,2,30,10.8,60,2022,1,6,Profit
8,27-12-2022,11:19:00,148,Male,30,Electronics,4,25,11,100,2022,12,11,Profit
41,11-10-2022,10:36:00,88,Male,34,Clothing,2,25,13.25,50,2022,10,10,Profit
454,12-03-2022,07:20:00,13,Female,46,Beauty,1,25,13,25,2022,3,7,Profit
780,06-07-2022,11:30:00,107,Male,52,Electronics,2,25,13.25,50,2022,7,11,Profit
920,20-08-2022,10:25:00,99,Female,28,Beauty,3,25,6.75,75,2022,8,10,Profit
1008,10-01-2022,08:51:00,116,Male,30,Electronics,4,25,13,100,2022,1,8,Profit
1041,10-05-2022,07:27:00,74,Male,34,Clothing,2,25,11,50,2022,5,7,Profit
1454,25-06-2022,11:18:00,22,Female,46,Beauty,1,25,6.75,25,2022,6,11,Profit
1780,11-12-2022,10:00:00,32,Male,52,Electronics,2,25,10.5,50,2022,12,10,Profit
1920,24-10-2022,08:33:00,23,Female,28,Beauty,3,25,9.25,75,2022,10,8,Profit
396,15-12-2022,07:11:00,29,Female,55,Beauty,1,30,10.8,30,2022,12,7,Profit
1396,07-06-2022,06:23:00,9,Female,55,Beauty,1,30,8.4,30,2022,6,6,Profit
168,29-04-2022,09:20:00,138,Male,53,Clothing,1,300,102,300,2022,4,9,Profit
400,08-03-2022,09:52:00,2,Male,53,Clothing,4,50,24,200,2022,3,9,Profit
611,21-07-2022,08:13:00,11,Male,51,Beauty,3,500,180,1500,2022,7,8,Profit
